# anchorsX, anchorsY
5.994528324432644695e+03,2.176924978849527179e+04
5.995508154489085427e+03,2.177073290737496427e+04
5.997198237675709606e+03,2.176284669608391778e+04
5.997778376027864397e+03,2.175565063864148033e+04
6.003012158821390585e+03,2.168308019204646189e+04
6.006547293367103521e+03,2.157996865404554774e+04
6.012580852849171606e+03,2.158266069084270202e+04
6.020216667632502322e+03,2.168013882070791442e+04
6.027047938307216100e+03,2.148471883277006054e+04
6.029279825262777194e+03,2.148692924926771957e+04
6.034198924418054958e+03,2.150469562025716732e+04
6.040350924034018135e+03,2.150521797108123428e+04
6.047991746140291070e+03,2.168338440734146934e+04
6.048627236151810393e+03,2.170688788063476750e+04
6.052714123781624949e+03,2.185952110455981165e+04
6.061876753467770868e+03,2.193368878794298871e+04
6.070334415878682194e+03,2.203358342448034455e+04
6.073666084831544140e+03,2.211505527427807101e+04
6.077029987402172992e+03,2.226208943033620017e+04
6.082485086949748620e+03,2.235769644245504242e+04
6.086026422263215863e+03,2.243406538846378680e+04
6.087234397594342227e+03,2.244206540099951599e+04
6.090037011279908256e+03,2.248827110410018213e+04
6.096113768330969833e+03,2.251811864119891106e+04
6.097191551732745211e+03,2.251552472173023489e+04
